id,mid,name,sex,face,sign,level,fans_badge,article,video,follower,archive_view,likes,total_charge_count,month_charge_count,birthday,official_role,official_title,official_type,vip_type,vip_status,url,category1,category2,tags,xxpoint,interact,fansgrowth,notesgrowth,viewgrowth,interactgrowth,ddate,sdate,sync_video,sync_article,is_huahuokol,resting,vdate,mdate,evr_view,evr_like,evr_collect,inc_percent
61836,326499679,哔哩哔哩漫画,女,https://i1.xxkol.cn/bfs/face/2254162161a60b528cfec449f3450409a81ebc37.jpg,↑ 【关注漫画姬】就送【漫读券5张】，当日或次日登录哔哩哔哩漫画APP即可领取，快来关注领券吧(°?°)? ↑,6,1,159,1519,35583463,160755906,37437960,324,20,11月13日,3,哔哩哔哩漫画官方账号,1,2,1,https://space.bilibili.com/326499679,国创,动画,,10,0.14%,162.88,13.96,0.03,1.47,2021/12/30,2021/12/30 13:11,0,1,0,1,2021/12/30 5:28,2021/12/30 1:00,131184.895,11584.553,1146.553,0.60%
63108,321173469,哔哩哔哩大会员,男,https://i0.xxkol.cn/bfs/face/45e709f0b719faf7c2eefeb4068700c18951e194.jpg,朋友，大会员了解一下~,6,0,28,20,20999599,2906628,5644169,232,29,10月10日,3,哔哩哔哩大会员官方账号,1,2,1,https://space.bilibili.com/321173469,生活,影视,,10,0%,129.28,0.22,0.03,0.04,2021/12/30,2021/12/30 12:45,0,1,0,1,2021/12/30 5:45,2021/12/30 3:16,89559,5929,47,0.48%
1547,517327498,罗翔说刑法,保密,https://i1.xxkol.cn/bfs/face/4e5d0a51273fe3f8fabc700b6a71bb8a38c9e21e.jpg,厚大法考刑法独家授课老师，工作邮箱：xfluoxiang@126.com,6,1,3,222,20460196,525611923,59871937,0,0,,2,中国政法大学教授、2020年度最高人气UP主、bilibili 2020百大UP主,2,2,1,https://space.bilibili.com/517327498,科技,纪录片,,10,1.84%,143.25,3.19,0.72,22.41,2021/12/30,2021/12/30 15:34,1,1,1,1,2021/12/30 0:38,2021/12/27 14:07,1866162.1,170331.15,12279.1,0.62%
2,546195,老番茄,保密,https://i0.xxkol.cn/bfs/face/bc5ca101313d4db223c395d64779e76eb3482d60.jpg,新浪微博：_老番茄_,6,1,0,394,16741129,2040676199,118080392,43941,413,,1,bilibili 2020百大UP主、知名UP主,2,2,1,https://space.bilibili.com/546195,游戏,生活,游戏解说,10,4.07%,39.14,2.09,2.16,44.42,2021/12/30,2021/12/30 15:45,1,1,1,1,2021/12/30 0:12,2021/12/27 11:43,4614718.273,507270.364,105265.364,0.13%
1460,50329118,哔哩哔哩英雄联盟赛事,保密,https://i2.xxkol.cn/bfs/face/cb620bbb9071974f37843134875d472b47532a97.jpg,哔哩哔哩英雄联盟赛事官方账号，直播LPL、MSI季中赛、S12、全明星等大型赛事。,6,1,115,3613,11146046,1386680825,49855410,0,0,,3,哔哩哔哩英雄联盟赛事直播官方账号,1,2,1,https://space.bilibili.com/50329118,游戏,生活,,10,2.71%,82.63,29.95,0.15,24.64,2021/12/30,2021/12/30 15:44,1,1,0,1,2021/12/30 0:38,2021/12/27 13:53,598990.177,13984.585,1937.494,-0.27%
1570,9617619,哔哩哔哩直播,保密,https://i0.xxkol.cn/bfs/face/8f6a614a48a3813d90da7a11894ae56a59396fcd.jpg,哔哩哔哩直播官方账号。问题请访问bilibili.com/v/customer-service,6,1,66,646,10556956,118639497,23267502,721,19,,3,哔哩哔哩直播官方账号,1,1,0,https://space.bilibili.com/9617619,娱乐,生活,直播姬,10,0.31%,77.54,7.47,0.06,3.68,2021/12/30,2021/12/30 15:34,1,1,0,1,2021/12/30 0:38,2021/12/27 14:26,94755.275,7568.05,500.95,-0.14%
18,20165629,共青团中央,保密,https://i1.xxkol.cn/bfs/face/20e470d5529821be78c36f60e57b1d337ac74ecb.jpg,你好呀！这里皮皮团，等你很久啦！,6,1,187,3554,9420830,1861800695,191250859,34631,324,5月5日,4,共青团中央 官方账号,1,2,1,https://space.bilibili.com/20165629,资讯,科技,团团,10,10.64%,24.26,17.47,0.25,115.74,2021/12/30,2021/12/30 15:41,1,1,0,1,2021/12/30 0:12,2021/12/27 11:44,539821.102,73565.271,9850.331,0.30%
3,9824766,敬汉卿,男,https://i0.xxkol.cn/bfs/face/fd8d7ad17af295f7c4256959705f009c5f67e9c6.jpg,YouTube：敬汉卿【官方频道】 商务合作联系1905387728@qq.com,6,1,3,1157,9271702,1519409147,86917505,20090,47,4月24日,1,bilibili 2020百大UP主、2019年度弹幕人气奖UP主,2,1,0,https://space.bilibili.com/9824766,生活,数码,,10,2.84%,5.29,2.14,0.91,30.91,2021/12/30,2021/12/30 15:45,1,1,1,1,2021/12/30 0:12,2021/12/27 11:43,1692715.059,145944.118,6472.353,-0.05%
114,18202105,绵羊料理,女,https://i1.xxkol.cn/bfs/face/54b5c9c2ad7f1baff195090bfd6afa365ef20c37.jpg,爱吃的女孩运气不会太差！合作QQ：212926668,6,1,0,321,9033721,742139987,52882635,9789,193,3月28日,1,2020年度原创栏目、bilibili 2020百大UP主,2,2,1,https://space.bilibili.com/18202105,生活,科技,"绵羊料理,绵羊生存料理",10,6.14%,36.51,0.71,2.45,59.53,2021/12/30,2021/12/30 15:40,1,1,1,1,2021/12/30 0:12,2021/12/27 11:48,6171528.444,540848.667,70317.667,0.48%
4,163637592,老师好我叫何同学,保密,https://i0.xxkol.cn/bfs/face/346d9c5e919a991216f4f5a950fb7b73cdd22fff.jpg,喜欢做贼有意思的视频 工作联系：xhaxx1123@163.com,6,1,2,43,8917707,252108162,34143597,16128,159,,1,2020年度最佳作品奖UP主、bilibili 2020百大UP主,2,2,1,https://space.bilibili.com/163637592,数码,科技,,10,4.07%,38.08,0.16,5.02,32.28,2021/12/30,2021/12/30 15:45,1,1,1,1,2021/12/30 0:12,2021/12/27 11:43,18509660,2717302,862221,0.18%
